#separator:Semicolon
#html:false
#columns:Traditional;Reading;Definition;Simplified;tag
#notetype:Chinese (Trad and Simp)
#deck:tianguancifu
賭;du3;"VERB

1 gamble

2 bet";赌;hsk6
決絕;jue2jue2;"VERB

1 break/cut off; sever

2 part forever";决绝;
深信;shen1xin4;"VERB

firmly believe";;hsk7-9
信;xin4;"NOUN

letter; mail

<hr style='width: 30%'>

VERB

believe; give credence to 我不信你的話。 Wǒ bụ̀ xìn nǐ de huà. I don't believe you.

<hr style='width: 30%'>

BOUND FORM

1 message; word; information in xìnr , xìnxī

2 confidence; trust; faith in xìnyòng

3 sign; evidence in xìnhào

4 at will/random; without a plan in xìnkǒu , xìnbù

5 true in ²xìnshǐ

6 fuse in xìnguǎn , yǐnxìn";;hsk3
答應;da1ying5;"VERB

1 answer; reply

2 agree; promise 你答應他了嗎? Nǐ dāying tā le ma? Have you said “yes” to him?";答应;hsk3
鬥法;dou4fa3;"VERB

OBJECT CONSTRUCTION

1 match magical powers

2 scheme against";斗法;
心照不宣;xin1zhao4bu4xuan1;"FIXED EXPRESSION

have a tacit understanding";;hsk3
心;xin1;"NOUN

1 heart 她心裡只有你。 ²Tā xīnli zhị̌yọ̌u nǐ. There's only you in her heart.

2 mind; feeling

3 fifth of the twenty-eight constellations

<hr style='width: 30%'>

BOUND FORM

center; core in ¹zhōngxīn , ¹héxīn";;hsk3
心照;xin1zhao4;"VERB

PHRASE

understand without being told";;hsk3
螳螂捕蟬黃雀在後;tang2lang2bu3chan2 huang2que4zai4hou4;ID. be unaware of impending danger;螳螂捕蝉黄雀在后;
山雨欲來風滿樓;shan1 yu3 yu4 lai2 feng1 man3 lou2;"ID. ominous portents; omen; portent";山雨欲来风满楼;
買賣不成仁義在;mai3mai5 bu4cheng2 ren2yi4 zai4;;买卖不成仁义在;
輪回轉世說;lun2hui2-zhuan3shi4shuo1;"NOUN

reincarnation";轮回转世说;
一勞永逸;yi1lao2yong3yi4;"FIXED EXPRESSION

do sth. once and for all 學習不是一勞永逸的事。 Xuéxí bụ̀shì yī̠láoyǒngyì de ²shì. Study is not doing something once and for all.";一劳永逸;
窮凶極惡;qiong2xiong1ji2e4;"FIXED EXPRESSION

extremely vicious";穷凶极恶;
惡貫滿盈;e4guan4man3ying2;"FIXED EXPRESSION

(to have committed) countless crimes 這個罪犯惡貫滿盈。 Zhège zuìfàn èguànmǎnyíng. The criminal has committed endless crimes (and deserves to be brought to justice).";恶贯满盈;
以防萬一;yi3fang2wan4yi1;"FIXED EXPRESSION

be prepared for all contingencies; provide against emergencies 為了以防萬一, 我還是要去一趟。 Wèile yǐfángwànyī, wǒ háishi yào qù yị̄ tàng. In order to be prepared for all contingencies, I'd better go there.";以防万一;
金屋藏嬌;jin1wu1cang2jiao1;"FIXED EXPRESSION

magnificent house for a beloved woman";金屋藏娇;
受損程度;shou4sun3 cheng2du5;"NOUN

extent of damage";受损程度;
初來乍到;chu1lai2zha4dao4;"FIXED EXPRESSION

just arrived";初来乍到;
山雨欲來;shan1yu3yu4lai2;coming storm in the mountains;山雨欲来;
綽綽有餘;chuo4chuo4you3yu2;"FIXED EXPRESSION

enough and to spare; ample";绰绰有余;
橫行霸道;heng2xing2ba4dao4;"FIXED EXPRESSION

tyrannize; domineer";横行霸道;
奸夫淫婦;jian1fu1-yin2fu4;"NOUN

male and female intrigants";奸夫淫妇;
耍花樣兒;shua3 hua1yang4r5;"VERB

OBJECT CONSTRUCTION

, coll.

1 trick; dupe; cheat

2 show off some special skill

3 play tricks 他在耍什麼花招? Tā zài shuǎ shénme huāzhāo? What's he up to?";耍花样儿;
從屬變量;cong2shu3 bian4liang4;"NOUN

, lg. dependent variable";从属变量;
裝瘋賣傻;zhuang1feng1mai4sha3;"FIXED EXPRESSION

play the fool/madman";装疯卖傻;
肆無忌憚;si4wu2ji4dan4;"FIXED EXPRESSION

unbridled; brazen; unscrupulous";肆无忌惮;
不速之客;bu4su4zhi1ke4;"NOUN

uninvited/unexpected guest

M: ge / ²wèi / 個 / 位";;hsk3
嗜殺成性;shi4sha1cheng2xing4;"FIXED EXPRESSION

bloodthirsty";嗜杀成性;
言出必行;yan2chu1bi4xing2;"FIXED EXPRESSION

suit the action to the word";;hsk3
流芳百世;liu2fang1bai3shi4;"FIXED EXPRESSION

leave a lasting reputation";;hsk3
強弩之末;qiang2nu3zhi1mo4;"NOUN

a spent force";强弩之末;
紙醉金迷;zhi3zui4jin1mi2;"FIXED EXPRESSION

(life of) luxury and dissipation";纸醉金迷;
醉生夢死;zui4sheng1meng4si3;"FIXED EXPRESSION

lead a besotted/befuddled life";醉生梦死;
惺惺相惜;xing1xing1xiang1xi1;"FIXED EXPRESSION

The wise appreciate each other.";;hsk3
殺人如麻;sha1ren2ru2ma2;"FIXED EXPRESSION

kill people like flies";杀人如麻;
強人所難;qiang3ren2suo3nan2;"FIXED EXPRESSION

1 impose a difficult task on sb.

2 try to make sb. do what he is unwilling/unable to";强人所难;
精神錯亂;jing1shen2cuo4luan4;"FIXED EXPRESSION

be mentally deranged; be insane";精神错乱;
細皮嫩肉;xi4pi2nen4rou4;"FIXED EXPRESSION

delicate/tender skin";细皮嫩肉;
暴殄天物;bao4tian3tian1wu4;"FIXED EXPRESSION

reckless waste of grain/etc.";;hsk3
身殘志堅;shen1can2zhi4jian1;"FIXED EXPRESSION

broken in body but firm in spirit";身残志坚;
自知之明;zi4zhi1zhi1ming2;"NOUN

1 self-knowledge

2 know oneself; correct self-assessment";;hsk3
易如反掌;yi4ru2fan3zhang3;"FIXED EXPRESSION

as easy as falling off a log 這個工作對我來說簡直易如反掌。 Zhège gōngzuò duì wǒ lái shuō jiǎnzhí yìrúfạ̌nzhǎng. To me, this work is as easy as falling off a log.";;hsk3
不可終日;bu4ke3zhong1ri4;"FIXED EXPRESSION

1 be in desperate situation

2 be anxious throughout the day";不可终日;
人心惶惶;ren2xin1huang2huang2;"FIXED EXPRESSION

popular anxiety";;hsk3
聲勢浩大;sheng1shi4hao4da4;"FIXED EXPRESSION

impressive display of power/influence";声势浩大;
抱頭鼠竄;bao4tou2shu3cuan4;"FIXED EXPRESSION

scamper off like a frightened rat";抱头鼠窜;
高深莫測;gao1shen1mo4ce4;"FIXED EXPRESSION

unfathomable";高深莫测;
暴戾恣睢;bao4li4zi4sui1;"FIXED EXPRESSION

, wr. extremely cruel and despotic";;hsk3
天經地義;tian1jing1di4yi4;"FIXED EXPRESSION

perfectly justified/proper";天经地义;hsk7-9
謹言慎行;jin3yan2shen4xing2;"FIXED EXPRESSION

be discreet in word and deed";谨言慎行;
大難不死;da4nan4bu4si3;"FIXED EXPRESSION

escape from death in a great catastrophe";大难不死;
言而有信;yan2er2you3xin4;"FIXED EXPRESSION

be as good as one's word";;hsk3
齊心協力;qi2xin1xie2li4;"FIXED EXPRESSION

make concerted efforts";齐心协力;hsk7-9
別無二致;bie2wu2er4zhi4;"FIXED EXPRESSION

without any difference; identical";别无二致;
狼狽不堪;lang2bei4bu4kan1;"FIXED EXPRESSION

in dire straits";狼狈不堪;
腥風血雨;xing1feng1xue4yu3;"FIXED EXPRESSION

carnage; reign of terror";腥风血雨;
自作多情;zi4zuo4duo1qing2;"FIXED EXPRESSION

1 fancy oneself as attractive to the opposite sex

2 be pleased with oneself

3 proffer a love which is not reciprocated";;hsk3
塞翁失馬;sai4weng1shi1ma3;ID. blessing in disguise;塞翁失马;
隨心所欲;sui2xin1suo3yu4;"FIXED EXPRESSION

do as one pleases 你可以隨心所欲地過你的日子。 Nǐ kẹ̌yǐ suíxīnsuǒyù de guò nǐ de rìzi. You can live the way you like.";随心所欲;hsk7-9
棄暗投明;qi4an4tou2ming2;"FIXED EXPRESSION

cross from the reactionary to the progressive side";弃暗投明;
賣主求榮;mai4zhu3qiu2rong2;"FIXED EXPRESSION

seek high position and great wealth by betraying one's master";卖主求荣;
以絕後患;yi3jue2hou4huan4;"FIXED EXPRESSION

avoid trouble later on";以绝后患;
先斬後奏;xian1zhan3hou4zou4;"FIXED EXPRESSION

act first and report afterwards";先斩后奏;
略知一二;lüe4zhi1yi1er4;"FIXED EXPRESSION

know only a little about sth. 他對中國的傳統節日略知一二。 Tā duì Zhōngguó de chuántǒng jiérì lüèzhīyī'èr. He knows only a little about Chinese traditional festivals.";;hsk3
雪虐風饕;xue3nüe4feng1tao1;"FIXED EXPRESSION

a ferocious blizzard";雪虐风饕;
懸壺濟世;xuan2hu2ji4shi4;"FIXED EXPRESSION

practice medicine/pharmacy in order to help the people/public";悬壶济世;
興師動眾;xing1shi1dong4zhong4;"FIXED EXPRESSION

drag in many people (to do sth.)";兴师动众;
錦衣玉食;jin3yi1yu4shi2;"FIXED EXPRESSION

live in luxury";锦衣玉食;
水漲船高;shui3zhang3chuan2gao1;"FIXED EXPRESSION

1 all ships rise with the tide

2 particulars improve as the general situation does

3 subordinates rise with their superiors";水涨船高;hsk7-9
潰不成軍;kui4bu4cheng2jun1;"FIXED EXPRESSION

be utterly routed";溃不成军;
偃旗息鼓;yan3qi2xi1gu3;"FIXED EXPRESSION

1 cease hostilities; cease all activities

2 halt the noisy show";;hsk3
無中生有;wu2zhong1sheng1you3;"FIXED EXPRESSION

purely fictitious; fabricated";无中生有;
冷眼旁觀;leng3yan3pang2guan1;"FIXED EXPRESSION

1 look on coldly; stay aloof

2 look on with a critical eye";冷眼旁观;
大人物;da4ren2wu4;"NOUN

famous/influential personage; VIP

M: ge / ²wèi / 個 / 位";;hsk3
小伙子;xiao3huo3zi5;"NOUN

, coll. lad; young fellow; youngster

M: ge / míng / 個 / 名";;hsk4
單方面;dan1fang1mian4;"NOUN

one side

<hr style='width: 30%'>

ATTRIBUTIVE

unilateral 這不是單方面的責任。 Zhè bụ̀ shì dānfāngmiàn de zérèn. This is not a unilateral responsibility.";单方面;hsk7-9
黃泉路;huang2quan2lu4;"NOUN

the way to the netherworld

M: tiáo / 條";黄泉路;
溫柔鄉;wen1rou2xiang1;"NOUN

1 brothel

2 enjoying female charms in an intimate manner";温柔乡;
說到底;shuo1 dao4di3;"VERB

PHRASE

in the final analysis; at bottom";说到底;hsk7-9
緩口氣;huan3kou3qi4;"VERB

OBJECT CONSTRUCTION

have a respite 先讓我緩口氣。 Xiān ràng wǒ huạ̌nkǒuqì. Let me first have a breather.";缓口气;
奈何橋;Nai4he2qiao2;"NOUN

the bridge to Hell";奈何桥;
無休止;wu2 xiu1zhi3;"ADVERB

ceaselessly; endlessly";无休止;
惹是非;re3 shi4fei1;"VERB

OBJECT CONSTRUCTION

1 provoke a dispute

2 stir up trouble";;hsk3
障眼法;zhang4yan3fa3;"NOUN

1 cover-up; camouflage

2 sleight of hand; legerdemain

3 method to deflect suspicion from oneself";;hsk3
白眼狼;bai2yan3lang2;"NOUN

ungrateful and vicious person";;hsk3
旁觀者;pang2guan1zhe3;"NOUN

onlooker; bystander; spectator

M: ²wèi / 位";旁观者;
人販子;ren2fan4zi5;"NOUN

trafficker in human beings

M: ge / míng / 個 / 名";人贩子;
裝糊塗;zhuang1 hu2tu5;"VERB

OBJECT CONSTRUCTION

feign ignorance";装糊涂;
活死人;huo2si3ren2;"NOUN

1 living corpse

2 useless person

3 a slow-witted/clumsy person";;hsk3
上趕著;shang4gan3zhe5;"ADVERB

, coll. hurriedly; enthusiastically";上赶着;
搭把手;da1 ba3shou3;"FIXED EXPRESSION

 

<hr style='width: 30%'>

VERB

OBJECT CONSTRUCTION

, coll. help out; assist";;hsk3
靈芝草;ling2zhi1cao3;"NOUN

1 bot. Ganoderma lucidum

M: ²kē / 棵

2 trad. dark-brown fungus credited with miraculous powers";灵芝草;
鑄造出;zhu4zao4chu1;"R.VERB

make by casting in a mold";铸造出;
鹿銜草;lu4 xian2 cao3;(main medicinal name) pyrola / Pyrolae Herba;鹿衔草;
二五眼;er4wu5yan3;"NOUN

, topo. incompetent person

<hr style='width: 30%'>

STATIC VERB

1 incompetent

2 careless; slipshod

3 shoddy (of goods)";;hsk3
抵觸;di3chu4;"VERB

 

<hr style='width: 30%'>

STATIC VERB

1 contradict; conflict 兩股力量互相抵觸。 Liạ̌ng ²gǔ lìliang hùxiāng dǐchù. The two forces conflict with each other.

2 violate (the law)

3 encroach on (sb.'s interests/rights)";抵触;hsk7-9
偶爾;ou3er3;"ADVERB

 

<hr style='width: 30%'>

STATIC VERB

occasionally 他常常寫小說, 偶爾也寫詩。 Tā chángcháng xiẹ̌ xiǎoshuō, ọ̌u'ěr yẹ̌ xiě shī. He usually writes short stories, but sporadically writes poetry.";偶尔;hsk5
紕漏;pi1lou4;"NOUN

careless mistake; slip";纰漏;
清晨;qing1chen2;"NOUN

early morning 清晨空氣新鮮。 Qīngchén kōngqì xīnxiān. The air is fresh in the early morning.";;hsk5
探查;tan4cha2;"VERB

1 scout

2 examine; investigate 警察正在探查這起搶劫案。 Jǐngchá zhèngzài tànchá zhè ³qị̌ qiǎngjié ⁴àn. The police are investigating the robbery.";;hsk3
屍首;shi1shou5;"NOUN

1 corpse

2 human corpse

M: ³jù / 具";尸首;
紊亂;wen3luan4;"STATIC VERB

disorder; chaos; confusion";紊乱;hsk7-9
來歷;lai2li4;"NOUN

origin; background; career 你有沒有查明這人的來歷? Nị̌ yǒu méiyǒu chámíng zhè rén de láilì? Did you check out the background of this man?";来历;hsk7-9
棺材;guan1cai5;"NOUN

coffin

M: ge / fù / 個 / 副";;hsk7-9
渾身;hun2shen1;"NOUN

from head to foot; all over";浑身;hsk7-9
造成;zao4cheng2;"R.VERB

1 create; bring about 他的粗心造成了很大的損失。 Tā de cūxīn zàochéngle hěn dà de sǔnshī. His carelessness has brought about great loss.

2 complete (in constructing/making sth.)

<hr style='width: 30%'>

NOUN

production";;hsk3
維持;wei2chi2;"VERB

keep; preserve 陽光對於維持生命很重要。 Yángguāng duìyú wéichí shēngmìng hěn zhòngyào. Sunlight is very important for sustaining life.";维持;hsk4
樣貌;yang4mao4;"NOUN

appearance; shape";样貌;
狀態;zhuang4tai4;"NOUN

state (of affairs); condition; status 那名運動員正處於最佳狀態。 Nà míng yùndòngyuán zhèng chǔyú zuìjiā zhuàngtài. That athlete is in top form.";状态;
長輩;zhang3bei4;"NOUN

elder generation

M: ²wèi / 位";长辈;hsk7-9
極樂;ji2le4;"NOUN

blissful happiness";极乐;
人參;ren2shen1;"NOUN

ginseng

M: ⁵zhī / ⁴zhī / 枝 / 支";人参;
感想;gan3xiang3;"NOUN

impression; reflections; thoughts

M: ge / zhǒng / 個 / 種";;hsk5
簡短;jian3duan3;"STATIC VERB

brief; succinct; terse 這條消息雖然簡短但很重要。 Zhè tiáo xiāoxi suīrán jiạ̌nduǎn dàn hěn zhòngyào. This news is brief, but very important.";简短;hsk7-9
上線;shang4;;上线;
交流;jiao1liu2;"VERB

exchange; interchange; interflow 我們經常在一起交流信息。 Wǒmen jīngcháng zài yī̠qǐ jiāoliú xìnxī. We often get together to exchange information.

<hr style='width: 30%'>

ATTRIBUTIVE

, elec. alternating

<hr style='width: 30%'>

NOUN

, lg. alternate";;hsk3
漫評;man4ping2;"NOUN

commentary based on deep reflection";漫评;
評論;ping2lun4;"VERB

comment on; discuss

<hr style='width: 30%'>

NOUN

comment; commentary; review; criticism

M: piān / 篇";评论;hsk5
時辰;shi2chen5;"NOUN

1 one of the

12 two-hour periods of the day

2 time 你還記得你兒子出生的確切時辰嗎? Nǐ hái jìde nǐ érzi chūshēng de quèqiè shíchen ma? Do you still remember the exact time of your son's birth?";时辰;
賬目;zhang4mu4;"noun items of an account; accounts
	賬目公開 zhàngmù gōngkāi accounts open to public inspection
	清理賬目 qīnglǐ zhàngmù square accounts
	定期公布賬目 dìngqī gōngbù zhàngmù publish the accounts regularly 賬目不清。 zhàngmù bùqīng. The accounts (or books) are not in order.";账目;
藥材;yao4cai2;"NOUN

medicinal herbs";药材;hsk7-9
使喚;shi3huan5;"VERB

1 order about; be bossy

2 run errands for

3 topo. use; handle 這工具不好使喚。 Zhè gōngjù bù hạ̌o shǐhuan. This tool isn't easy to use.";使唤;hsk7-9
蜂蜜;feng1mi4;"NOUN

honey";;hsk7-9
蜜餞;mi4jian4;"NOUN

candied/preserved fruit";蜜饯;
紈絝;wan2ku4;"NOUN

, wr.

1 silk trousers; expensive clothing of children from wealthy families

2 good-for-nothing young man from a wealthy family";纨绔;
整日;zheng3ri4;"NOUN

whole day; all day long";;hsk3
正形;zheng4xing2;"noun colloquial good manners; proper behaviour";;hsk3
藥方;yao4fang1;"NOUN

prescription
	開藥方 kāi yàofāng write out a prescription

M: zhāng / 張";药方;hsk7-9
除去;chu2qu4;"R.VERB

eliminate

<hr style='width: 30%'>

COVERB

except";;hsk7-9
針對;zhen1dui4;"VERB

be directed against; be aimed at; counter 她這話是針對你說的。 ²Tā zhè huà shì zhēnduì nǐ shuō de. What she said was directed to you.

<hr style='width: 30%'>

CONJUNCTION

in the light of; in connection with
	針對目前情況採取適當措施 Zhēnduì mùqián qíngkuàng cạ̌iqǔ shìdàng cuòshī take appropriate steps according to existing circumstances";针对;hsk4
方子;fang1zi5;"NOUN

1 prescription

2 directions for mixing chemicals; formula

3 timber in the shape of square columns";;hsk3
普通;pu3tong1;"STATIC VERB

ordinary; common; average 我不過是個普通學生。 Wǒ buguò shì ge pǔtōng xuésheng. I'm just an ordinary student.";;hsk3
誤筆;wu4bi3;"NOUN

slip of the pen";误笔;
周轉;zhou1zhuan3;"NOUN

 

<hr style='width: 30%'>

VERB

, econ.

1 turnover; circulating/revolving (funds)

2 have enough to meet the need 這個月公司資金周轉不開。 Zhège yuè gōngsī zījīn zhōuzhuǎn bù kāi. This month our company does not have enough to meet the need.";周转;
結印;jie2 yin4;A binding agreement sealed as a contract, employed by the esoteric sects.;结印;
運氣;yun4qi4;"VERB

OBJECT CONSTRUCTION

1 control the breath

2 move qì through the body See also yùnqi";运气;hsk4
四處;si4chu4;"PLACE WORD

all around; everywhere 你去哪兒了? 害得我四處找不到你。 Nǐ qù nǎr le? Hài de wǒ sìchù zhǎobudào nǐ. Where did you go? It caused me the trouble of looking all around for you.";四处;hsk6
筋脈;jin1mai4;"NOUN

, Ch. med. passages through which vital energy circulates";筋脉;
承受;cheng2shou4;"VERB

1 bear; support; endure 他承受著很大的壓力。 Tā chéngshòuzhe hěn dà de yālì. He's under great pressure.

2 inherit (a legacy/etc.)

3 accept";;hsk4
乍到;zha4dao4;"VERB

1 has just arrived

2 just happen to go there; arrive unexpectedly";;hsk3
害羞;hai4xiu1;"STATIC VERB

be bashful/shy 她有點兒害羞。 ²Tā yọ̌udiǎnr hàixiū. She is a bit shy.";;hsk7-9
不測;bu4ce4;"NOUN

accident; contingency

<hr style='width: 30%'>

ATTRIBUTIVE

unpredictable 天有不測風雲。 Tiān yǒu bụ̀cè fēngyún. Life is unpredictable.";不测;
髒貨;zang1huo4;"NOUN

things gained illegally (esp. by stealing)

M: xiē / pī / 些 / 批";脏货;
清高;qing1gao1;"STATIC VERB

1 aloof from politics and worldly things 他顯得很清高。 Tā xiǎnde hěn qīnggāo. He appears rather aloof from worldly matters.

2 distinguished; dignified";;hsk3
治療;zhi4liao2;"VERB

treat; cure 他的病得到了及時的治療。 Tā de ²bìng dédàole jíshí de zhìliáo. His illness has been treated in time.

<hr style='width: 30%'>

NOUN

treatment; cure";治疗;hsk4
何其;he2qi2;"ADVERB

, wr. how?; what?";;hsk3
掩蓋;yan3gai4;"VERB

cover; conceal 他想把真相掩蓋起來。 Tā xiạ̌ng bǎ zhēnxiàng yǎngài qǐlai. He tried to conceal the truth.";掩盖;hsk7-9
澀味;se4wei4;"NOUN

astringent taste";涩味;
成分;cheng2fen5;"NOUN

1 composition

2 component part; ingredient; element

3 class/economic status; profession";;hsk6
恰好;qia4hao3;"ADVERB

1 by luck/coincidence

2 exactly; just right 我正要找你, 恰好你來了。 Wǒ zhèngyào zhạ̌o nǐ, qiàhǎo nǐ lái le. I was just going to look for you and here you are.";;hsk6
滋補;zi1bu3;"ATTRIBUTIVE

 

<hr style='width: 30%'>

VERB

nourishing; nutritious 她給母親買了很多滋補品。 ²Tā gẹ̌i mǔqin mǎile hěn duō zībǔpǐn. She bought lots of nutritious food for her mother.";滋补;
聽聞;ting1wen2;"VERB

PHRASE

, wr. hear (news/etc.)

<hr style='width: 30%'>

NOUN

things heard";听闻;
仗著;zhang4zhe5;"VERB

PHRASE

rely/presume on (one's own advantage/etc.)";仗着;
妓院;ji4yuan4;"PLACE WORD

brothel

M: jiā / 家";;hsk3
瞎講;xia1jiang3;"VERB

speak groundlessly";瞎讲;
大約;da4yue1;"ADVERB

1 about; around

2 probably; likely";大约;
玄色;xuan2se4;"NOUN

dark black";;hsk3
刀鞘;dao1qiao4;"NOUN

sheath; scabbard

M: bǎ / 把";;hsk3
藏藥;Zang4yao4;noun Tibetan medicine;藏药;
知曉;zhi1xiao3;"VERB

know; be aware of; understand";知晓;
幼年;you4nian2;"NOUN

childhood; infancy";;hsk3
頂撞;ding3zhuang4;"VERB

contradict (one's elder/superior) 不要頂撞父母。 Bụ̀yào dǐngzhuàng fùmǔ. Don't argue with your parents.";顶撞;
僥幸;jiao3xing4;"STATIC VERB

luckily; by a fluke; by luck 我們隊僥幸贏了這場比賽。 Wǒmen ²duì jiǎoxìng yíngle zhè chạ̌ng bǐsài. It was due to luck that our team won the game.";侥幸;
接近;jie1jin4;"VERB

 

<hr style='width: 30%'>

STATIC VERB

1 be close to; be near; approach 新建的公園接近市中心。 Xīn ³jiàn de gōngyuán jiējìn shì zhōngxīn. The newly built park is close to downtown.

2 be on intimate terms with";;hsk3
毒發;du2fa1;"NOUN

manifestation of the effect of poison or toxin";毒发;
致命;zhi4ming4;"ATTRIBUTIVE

fatal; mortal; deadly 競選失敗給了他致命的打擊。 Jìngxuǎn shībài gěile tā zhìmìng de dǎjī. The failure of the election campaign was a fatal blow to him.

<hr style='width: 30%'>

VERB

OBJECT CONSTRUCTION

sacrifice one's life";;hsk7-9
囑咐;zhu3fu5;"VERB

enjoin; tell; exhort";嘱咐;hsk7-9
當場;dang1chang3;"ADVERB

on the spot; then and there 他當場昏了過去。 Tā dāngchǎng hūnle guòqu. He lost consciousness on the spot.";当场;hsk5
留門;liu2men2;"VERB

OBJECT CONSTRUCTION

leave the door unlocked 今晚請留門。 Jīnwạ̌n qǐng liúmén. Please leave the door unlocked tonight.";留门;
考慮;kao3lü4;"VERB

think over; consider 你考慮一下再答復我。 Nǐ kǎolǜ yị̄xià zài dáfù wǒ. Think it over before you give me an answer.";考虑;hsk4
囚房;qiu2fang2;"PLACE WORD

prison; cell

M: jiān / 間";;hsk3
自責;zi4ze2;"VERB

condemn/blame oneself

<hr style='width: 30%'>

NOUN

self-reproach";自责;hsk7-9
黃曆;huang2li4;"NOUN

almanac

M: běn / 本";黄历;
單方;dan1fang1;"NOUN

1 one side

2 folk prescription; home remedy

M: zhāng / 張

<hr style='width: 30%'>

ATTRIBUTIVE

unilateral";单方;
從屬;cong2shu3;"ATTRIBUTIVE

subordinate; dependent";从属;
傷勢;shang1shi4;"NOUN

condition of an injury/wound 他的傷勢怎麼樣? Tā de shāngshì zěnmeyàng? What is the condition of his wound?";伤势;hsk7-9
濟世;ji4shi4;"VERB

OBJECT CONSTRUCTION

benefit society; benefit the world";济世;
估計;gu1ji4;"VERB

estimate; appraise; reckon 估計她不會來了。 Gūjì ²tā bụ̀ huì lái le. It looks as if she won't come.";估计;hsk5
期望;qi1wang4;"VERB

expect/hope earnestly 父母對我期望很高。 Fùmǔ duì wǒ qīwàng hěn gāo. My parents place high hopes on me.

<hr style='width: 30%'>

NOUN

expectation; hope";;hsk5
喜愛;xi3ai4;"VERB

like; love; be fond of";喜爱;hsk4
折磨;zhe2mo5;"VERB

1 persecute; torment 他在監獄裡經受了很多折磨。 Tā zài jiānyù li ³jīngshòule hěn duō zhémo. He was badly abused in prison.

2 submit to an ordeal";;hsk7-9
將死;jiang1si3;"R.VERB

checkmate

<hr style='width: 30%'>

VERB

PHRASE

be dying";将死;
前院;qian2yuan4;"PLACE WORD

front courtyard

M: ⁴zuò / 座";;hsk3
僅僅;jin3jin3;"ADVERB

only; merely; barely 我僅僅呆了五分鐘。 Wǒ jị̌njǐn ²dāile wǔ fēnzhōng. I stayed for only

5 minutes.";仅仅;
歇息;xie1xi5;"VERB

1 have a rest

2 go to bed

3 put up for the night";;hsk3
貨色;huo4se4;"NOUN

1 goods

2 stuff; trash; rubbish

3 quality of goods; specification";货色;
低階;di1jie1;"NOUN

low rank";低阶;
莽夫;mang3fu1;"NOUN

boorish fellow

M: ge / míng / 個 / 名";;hsk3
三思;san1si1;"VERB

think thrice";;hsk3
魯莽;lu3mang3;"STATIC VERB

crude and rash 我不能跟這麼魯莽的人相處。 Wǒ bùnéng gēn zhème lụ̌mǎng de rén xiāngchǔ. I cannot get along with such a crude and rash person.";鲁莽;hsk7-9
英雄;ying1xiong2;"NOUN

hero; great man

M: ge / míng / ²wèi / 個 / 名 / 位

<hr style='width: 30%'>

ATTRIBUTIVE

heroic";;hsk6
極品;ji2pin3;"NOUN

1 best quality; highest grade

2 highest official rank";极品;
年少;nian2shao4;"VERB

PHRASE

young of age";;hsk3
輪回;lun2hui2;"NOUN

, Budd. transmigration; samsara

<hr style='width: 30%'>

VERB

recur successively";轮回;
貴重;gui4zhong4;"STATIC VERB

valuable; precious 保管好自己的貴重物品。 Bạ̌oguǎn hǎo zìjǐ de guìzhòng wùpǐn. Take good care of one's valuables.";贵重;hsk7-9
黃泉;Huang2quan2;"PLACE WORD

netherworld; Hades";黄泉;
遇著;yu4zhao2;"R.VERB

meet; encounter See also yùzhe";遇着;
正義;zheng4yi4;"NOUN

1 justice

2 orthodox/rectified interpretation (of ancient texts)

<hr style='width: 30%'>

ATTRIBUTIVE

just; righteous";正义;hsk5
寒暄;han2xuan1;"VERB

exchange conventional greetings 他倆相互寒暄了一番。 Tāliǎ xiānghù hánxuānle yī̠ fān. They both exchanged conventional greetings.

<hr style='width: 30%'>

NOUN

1 winter and summer

2 a year";;hsk3
殘暴;can2bao4;"STATIC VERB

ruthless; brutal";残暴;
途經;tu2jing1;"VERB

by way of; via";途经;
大發;da4fa5;"VERB

PHRASE

, coll. extravagant; exorbitant See also dàfā";大发;
君子;jun1zi3;"NOUN

1 man of noble character; gentleman

2 sovereign

M: ge / ²wèi / 個 / 位";;hsk7-9
犯下;fan4xia4;"R.VERB

1 violate

2 commit";;hsk3
罪孽;zui4nie4;"NOUN

1 wrongdoing

2 sin

3 retribution";;hsk3
同情;tong2qing2;"VERB

sympathize with 我同情他的遭遇。 Wǒ tóngqíng tā de zāoyù. I sympathized with his hard experience.";;hsk4
緬懷;mian3huai2;"VERB

cherish the memory of 小學生在墓地緬懷烈士。 Xiǎoxuéshēng zài mùdì miǎnhuái lièshì. The elementary school students honored the memory of martyrs in the graveyard.";缅怀;hsk7-9
暗門;an4men2;"noun

1 hidden door

2 trick; knack
	摸到暗門 Mōdào ànmén find a clever way of doing things; know the ropes; get the knock of";暗门;
機關;ji1guan1;"PLACE WORD

office; organ; body

<hr style='width: 30%'>

NOUN

1 mechanism

2 stratagem; scheme; intrigue

<hr style='width: 30%'>

ATTRIBUTIVE

machine-operated";机关;hsk6
保持;bao3chi2;"VERB

keep; maintain; preserve 他還保持原來的態度。 Tā hái bǎochí yuánlái de tàidu. He still maintains his original attitude.";;hsk3
身形;shen1xing2;"NOUN

figure; physical build";;hsk3
調動;diao4dong4;"R.VERB

1 transfer

2 move (troops); muster

3 bring into play";调动;hsk5
撕裂;si1lie4;"R.VERB

rend; tear; rip";;hsk3
